# undirected graph
# source, target
# number of nodes: 3965 number of edges: 40443
1187 3611
2273 1746
330 2294
2402 2853
3303 2019
2757 3559
66 2225
2954 1470
2167 2188
2567 1402
2179 291
4171 4172
863 2096
167 1052
3650 137
722 600
725 3010
2558 3973
603 435
1473 493
3305 3398
3663 1142
2173 797
2710 49
375 3061
1641 818
1103 1088
1400 579
39 1305
468 2070
1012 1833
1285 1008
397 2847
3806 425
816 1039
176 2544
160 4080
376 334
1658 434
693 815
118 2941
2053 1200
3622 523
3386 3013
1251 411
1308 2622
1291 1462
2710 3940
3587 2603
311 190
3690 472
1005 1136
2146 4402
1239 198
640 209
931 2201
2357 4602
2935 3467
1159 1334
98 3975
386 1577
529 1984
2829 3922
105 3288
346 1614
961 3123
3310 1852
1969 419
455 2409
135 159
741 955
2342 3586
1066 3528
1453 4637
1566 3079
500 476
1751 2273
544 1840
975 3583
4833 4252
3060 733
2850 667
1405 1409
685 2008
1677 1997
12 493
3214 3975
2509 253
73 2866
953 1098
1103 1099
2762 2409
124 4084
102 4170
114 1015
736 2149
527 3468
444 2409
2594 1258
2070 4589
3772 2700
1658 3
1854 313
975 675
3147 190
3180 4329
1677 2053
3810 4119
898 367
226 2773
4073 114
99 1845
1738 2797
2480 190
110 3065
3733 606
2329 55
735 2017
2910 4429
4195 1418
979 192
306 3119
3342 1665
3643 2875
1890 3193
11 1248
2065 4426
1100 1662
3313 792
3274 1498
249 665
4618 4670
1446 2070
130 2035
1687 3563
858 2935
3537 108
436 33
3000 485
1846 101
2968 565
661 3511
2806 1579
1192 3563
611 3117
2986 2158
985 1450
329 2357
3310 3186
309 3716
1985 3802
753 3989
4763 3113
2072 1828
3310 1208
3567 3641
258 513
2651 670
1736 78
2996 293
375 1250
3119 1620
808 1139
1928 659
1392 664
1179 882
1944 3537
4602 2763
216 1291
3338 1106
2679 2761
4575 1712
2084 979
1687 4553
3187 3209
2627 1088
133 311
1682 45
2278 129
3537 4807
1635 1841
741 1753
392 2354
606 2738
1128 2960
18 2361
952 3154
1128 1904
304 719
1285 1391
600 2829
603 979
1398 4402
1179 3087
4852 2071
1539 411
3693 2018
1928 2740
4297 767
493 1911
3537 3208
53 2017
1923 190
284 3113
38 1562
1852 2201
612 365
51 3387
667 2085
2806 1401
1251 1023
3896 1395
2031 1580
2850 4208
2918 176
4333 4075
1994 1924
1224 2302
963 1635
690 2669
276 118
1987 594
4740 4833
1930 3611
62 1771
3562 3733
2076 2079
309 83
2615 4821
1128 3154
695 2075
576 4208
606 4428
999 1665
337 593
1330 3480
3456 4488
2273 4071
291 2409
18 1019
1658 1093
96 1848
471 1318
3978 1165
28 90
408 864
510 2627
2991 2162
3227 2920
374 1047
965 1086
1451 1723
654 3221
620 2394
156 331
624 753
1677 747
971 593
744 3802
115 1303
2644 190
89 3474
1884 474
699 1495
1658 3037
1128 2797
657 1585
1103 892
885 2451
1634 3228
186 670
3671 585
1870 632
1790 2016
1104 2627
3591 742
303 2996
511 636
567 3507
3132 2084
2464 3013
3009 1751
612 1539
216 190
1782 3733
1687 380
1943 3110
381 2088
377 818
2088 1570
1448 843
1047 1139
1016 1008
1038 1082
275 1861
929 493
444 2162
292 3764
45 829
1192 2197
1370 2354
181 590
1004 33
2918 4177
3310 858
2848 2070
1400 576
4164 1910
2292 4084
18 337
1462 1973
51 752
1251 543
2916 456
3387 2409
1192 1614
1103 1335
2146 2644
435 533
738 1240
3069 4845
2823 2078
1110 1472
3979 921
1196 4589
1640 4086
1426 3154
607 1412
3542 3502
4597 1798
2070 868
607 1832
3055 2996
4845 307
110 1305
3733 2118
915 858
4433 2831
3806 4261
665 4703
792 898
1793 376
3202 3683
2930 1271
2088 471
3009 2409
383 863
2197 493
3060 2740
723 659
619 2167
304 2281
746 1449
3733 650
1952 1142
105 1019
1969 2644
2070 2079
414 121
3206 2384
3101 2099
1861 4507
18 1687
4298 2515
1977 2797
186 2918
4845 2019
3228 513
1088 1833
195 670
969 414
2916 4702
1921 923
49 468
1687 925
89 3214
207 1969
2434 2960
408 1080
2794 2793
742 2799
292 3476
4763 199
216 3472
1658 4826
3092 2916
643 134
610 4170
418 862
1658 522
4429 2227
544 3905
3806 2940
624 108
167 101
2146 4446
730 722
3395 650
1336 1043
1804 1139
1636 4
181 2027
1599 963
2357 2987
2622 2738
2131 693
3270 92
1641 1765
576 197
1400 2649
3148 380
455 665
4845 1097
2019 3442
2033 2679
899 555
2266 93
1251 1277
1292 2627
4193 235
931 1152
727 3283
3806 530
3924 3077
292 699
212 2354
2852 3502
975 1608
951 2669
3505 1620
2172 62
656 2395
544 1767
446 1526
1405 450
2916 454
811 2057
2187 62
4702 4429
2883 1070
4146 4067
606 3882
3924 663
3270 305
542 523
808 523
355 3866
256 4543
1816 2071
3619 1704
245 1319
2601 3455
3205 3764
790 2625
1861 1758
808 20
735 110
817 795
2627 1672
655 661
505 2754
614 1404
3993 3363
284 2657
210 622
1658 3958
414 1004
1658 1281
3256 675
606 3802
4167 4604
3322 2565
1330 4703
3949 2017
2844 1323
1242 2273
4460 4359
3067 3470
609 4429
195 621
4256 2831
3632 2915
435 863
3855 617
2434 254
624 3731
2243 2078
2468 3310
274 319
2070 521
