# undirected graph
# source, target
# number of nodes: 1092 number of edges: 22471
1031 93
857 606
857 1036
444 630
217 696
1018 218
1057 582
956 864
979 169
294 191
641 546
588 252
408 409
9 706
627 479
798 953
865 204
1028 467
455 524
321 145
975 865
766 271
331 648
182 190
1093 846
45 611
1093 1
1111 487
937 540
494 53
85 470
323 1112
681 384
904 305
718 537
445 75
684 467
587 753
226 932
271 740
857 1017
1126 896
49 687
255 902
225 899
674 750
993 911
321 728
527 861
442 130
262 243
812 81
674 1065
1148 563
640 530
27 926
137 646
32 27
1053 664
156 702
90 291
971 1014
1051 253
1085 1055
141 555
867 713
730 314
850 662
221 764
613 187
467 185
358 779
327 461
15 1016
423 1055
186 210
798 585
186 1093
92 860
518 622
1093 829
243 281
702 657
21 713
674 870
684 635
284 767
9 688
980 233
625 544
421 503
624 417
743 271
757 393
453 9
701 28
210 702
232 728
890 394
221 1145
487 426
518 81
1021 1036
506 607
683 921
1112 825
379 825
67 769
702 646
926 1095
885 626
688 1112
815 595
899 595
731 404
15 408
879 481
348 1043
44 810
262 764
628 503
53 641
9 281
248 839
250 631
826 868
579 380
21 767
326 146
780 190
179 396
85 865
222 844
1141 98
90 620
656 541
210 488
1064 860
539 99
674 570
798 740
86 404
326 852
590 252
506 525
684 133
773 267
359 690
317 579
953 690
391 8
153 75
1021 1052
408 673
391 1110
305 832
869 597
671 308
756 713
544 567
467 104
222 867
756 636
127 1127
850 460
916 719
986 829
611 513
106 838
713 283
73 957
433 283
87 678
542 66
697 962
856 1021
1017 781
588 467
18 231
614 957
577 537
544 249
815 384
306 937
848 795
691 779
408 283
598 657
255 475
177 367
85 479
749 510
427 93
1051 437
115 491
224 757
1021 670
310 472
684 151
186 243
58 876
1059 479
221 540
327 56
916 1032
703 615
127 403
668 1113
347 160
362 567
857 252
499 94
641 293
749 491
1059 849
494 408
317 540
907 690
1099 755
680 721
16 568
49 1099
162 202
491 404
248 582
780 740
471 728
58 378
15 952
28 657
467 825
144 814
701 627
788 974
127 913
382 493
643 134
907 1112
347 972
198 202
53 426
294 307
126 325
756 222
774 180
628 596
703 63
306 81
303 848
957 140
111 1147
1033 39
559 344
559 180
17 385
615 326
607 998
49 274
630 174
104 212
115 187
598 271
494 335
730 810
467 81
938 1135
63 39
635 750
936 791
1010 653
484 740
210 622
917 503
1135 826
144 351
464 1112
812 283
381 690
186 518
92 283
213 281
354 731
144 582
306 909
620 479
947 713
120 680
405 673
625 802
182 405
557 937
244 503
59 557
616 71
756 135
711 222
744 649
705 937
874 240
766 480
326 990
347 408
248 110
130 662
163 524
718 740
557 784
812 506
140 769
1053 1054
602 565
826 1145
671 1083
798 399
1111 741
1114 829
613 86
488 499
774 741
28 100
965 325
719 315
86 339
585 464
749 933
867 720
802 571
487 470
692 838
762 772
1049 472
196 555
455 262
374 570
947 314
555 1030
972 561
802 81
196 221
588 889
667 243
55 240
1112 94
730 1114
181 1099
53 990
908 301
212 267
1005 211
32 827
363 205
408 474
182 1
381 510
53 762
837 797
963 904
144 1109
777 1071
544 121
371 1112
105 73
409 1083
916 649
530 672
58 780
520 362
324 317
9 19
938 72
563 639
215 1055
1093 518
202 779
119 305
381 306
738 807
972 870
264 1125
224 536
92 599
324 262
653 39
887 83
433 178
812 667
490 231
780 209
16 607
13 825
1033 632
133 348
338 386
544 196
217 440
838 691
1126 160
381 417
667 688
788 672
766 156
8 272
1135 615
307 283
578 128
709 582
732 419
222 803
756 53
147 499
662 104
367 178
1085 204
161 614
127 221
839 814
956 321
347 628
1105 564
160 340
371 1051
613 301
599 271
163 923
381 596
274 1155
772 860
680 469
94 178
622 933
762 301
913 849
848 755
68 567
22 541
557 662
905 534
1093 591
616 1140
701 537
609 237
384 1058
684 374
160 262
378 611
1075 713
371 437
777 317
15 344
237 561
450 451
28 207
359 199
196 1135
480 281
405 281
442 283
1103 879
674 725
645 946
747 380
494 695
954 175
743 417
812 975
728 93
743 740
344 421
662 673
780 825
476 642
625 533
1051 1017
38 182
1093 740
391 582
419 825
766 408
221 636
213 438
160 252
950 332
823 30
777 461
986 464
954 648
474 694
578 92
578 585
857 298
0 370
374 1030
915 574
444 240
583 626
307 565
850 327
551 129
1155 639
908 1017
209 518
438 252
811 838
491 638
766 534
352 432
1007 583
222 611
671 80
49 450
339 471
119 676
674 752
887 314
336 680
344 587
85 741
469 358
371 876
484 283
526 995
1029 848
529 990
753 513
683 32
552 211
217 719
405 237
861 94
324 825
253 340
688 542
952 146
1123 641
443 702
578 121
995 1021
544 525
857 821
1021 245
904 325
725 767
906 384
603 336
455 641
273 1080
115 335
533 474
379 713
433 731
335 479
1094 93
117 653
743 518
433 905
555 1036
61 169
840 326
135 391
21 860
374 759
354 332
141 297
1126 809
846 1115
676 165
405 438
602 405
362 480
217 934
956 218
44 540
92 86
301 464
63 711
104 622
660 1055
780 587
548 659
551 668
238 349
98 846
615 378
337 641
180 641
159 346
743 991
769 43
645 636
147 362
798 480
1094 751
550 8
494 587
373 425
118 421
671 386
839 154
74 583
536 299
288 379
736 691
306 974
533 169
790 321
306 185
950 829
104 1055
641 128
1126 711
607 281
381 998
526 937
762 860
1126 975
63 221
674 204
301 1137
467 889
15 38
896 675
1018 790
391 676
1130 1112
626 1140
730 417
262 437
860 720
13 570
490 838
709 616
442 213
438 846
493 797
367 437
766 100
1093 913
442 488
805 1155
953 86
321 757
317 602
743 561
518 98
578 499
300 788
808 234
1090 910
28 1134
120 358
525 163
1137 849
1033 252
738 317
340 437
384 1036
201 1107
555 20
613 731
15 225
141 499
780 488
1033 802
631 128
55 1110
520 646
823 196
74 3
833 1153
578 635
780 706
1114 1036
238 863
1148 676
556 596
1112 670
117 636
455 294
326 204
730 127
355 479
337 982
667 905
680 493
446 1063
975 937
544 613
631 359
741 688
565 646
222 562
823 1058
121 740
774 622
136 121
238 1024
213 571
526 215
460 555
1056 803
160 947
186 534
250 404
774 186
526 756
623 934
306 643
683 795
986 1056
701 731
1033 958
561 646
876 865
187 384
39 829
794 45
1133 146
1032 211
461 673
28 306
487 542
1135 314
777 867
73 120
63 937
210 561
210 104
587 223
63 83
216 144
105 256
213 283
785 317
363 1004
641 185
879 949
261 240
842 874
98 740
1128 324
1099 797
306 741
1114 513
304 214
643 598
951 713
294 348
28 578
958 663
1006 753
1033 513
336 450
117 570
146 713
756 417
226 83
302 165
1093 940
590 237
859 814
127 729
1112 189
399 708
1005 78
447 420
360 895
857 383
169 437
415 221
640 962
11 146
896 1123
1091 192
1029 218
807 825
213 169
461 653
830 755
662 641
488 335
625 598
830 833
488 169
405 1145
314 652
563 583
210 405
147 484
685 479
1104 670
1020 253
695 1036
100 283
152 927
614 422
120 165
63 190
433 590
402 460
625 506
874 274
756 85
284 867
705 922
995 1112
856 860
808 369
916 311
1010 510
185 121
951 415
938 15
419 993
21 673
1105 663
444 709
484 480
788 1071
311 1155
508 469
127 419
455 104
971 630
320 1133
98 30
499 733
59 380
674 672
235 218
28 474
238 469
731 252
790 858
1093 1059
92 4
671 384
118 868
306 1108
222 1
614 869
1028 1059
58 513
18 879
144 469
405 378
896 222
632 228
1111 1127
306 92
142 230
221 673
11 308
86 594
1145 672
357 404
1112 404
994 868
1093 747
20 690
550 983
506 518
336 8
445 420
916 222
731 499
963 1014
701 83
986 215
613 359
674 662
937 982
905 417
895 618
156 9
1111 209
323 281
455 405
585 541
20 524
248 728
658 64
1111 803
406 731
104 474
13 220
442 306
899 784
625 453
100 595
408 567
225 310
53 652
814 934
777 253
1047 3
64 826
997 214
58 182
826 308
4 252
643 555
954 876
118 438
857 684
213 923
512 814
753 378
294 982
1051 460
766 731
520 405
1087 291
809 340
857 1109
227 1058
681 648
467 380
766 306
583 272
115 348
160 368
588 484
467 555
623 339
213 178
774 641
213 798
1007 925
860 146
137 146
840 749
830 914
3 582
86 870
385 642
427 232
407 491
668 77
671 1065
408 178
957 1110
73 1110
998 829
607 513
323 558
544 599
344 479
713 789
899 92
1021 562
544 367
255 240
774 353
484 690
544 628
585 357
598 844
369 795
671 115
306 316
506 740
1093 1085
814 673
15 44
383 222
403 642
28 518
301 660
288 72
859 369
555 283
744 921
137 228
322 230
983 315
347 367
956 71
662 222
741 379
74 261
598 1112
1018 838
135 688
3 231
210 211
526 221
901 8
56 472
550 161
306 243
578 350
408 438
284 662
484 609
613 9
198 385
839 391
362 281
86 169
938 323
550 970
359 367
222 731
607 185
510 94
288 405
756 675
115 409
226 467
1138 639
1051 215
1112 784
663 199
391 422
128 367
960 840
798 510
952 580
1033 72
579 611
534 474
248 563
671 1036
370 349
972 860
802 1115
196 673
1007 105
85 975
326 1115
972 177
1099 322
1127 825
16 1121
373 574
908 386
339 427
68 740
209 641
155 598
756 354
408 568
937 1058
695 688
303 811
1112 472
317 998
506 1006
578 409
443 632
368 784
850 323
639 166
1134 343
937 876
422 691
653 826
121 596
154 469
1093 348
961 940
807 1065
909 86
830 797
811 55
490 321
568 340
1070 1139
139 1065
103 1114
342 1029
262 237
557 1071
213 210
219 81
1140 305
481 1140
895 334
1032 463
253 868
492 343
248 1103
405 20
288 83
735 379
879 132
874 864
798 9
998 936
1034 257
19 343
777 383
805 469
455 518
550 969
979 1112
455 211
738 432
623 626
39 688
467 672
844 169
607 479
455 160
568 308
937 1145
860 846
381 1108
812 359
317 542
209 788
90 629
681 653
932 1112
474 356
139 63
811 473
506 785
1126 720
144 963
1103 848
686 785
722 409
339 721
83 596
226 867
371 314
216 311
19 163
947 204
896 958
182 829
766 2
1134 1054
667 323
979 438
570 849
405 513
210 972
1094 879
607 713
480 185
598 86
718 404
579 660
591 409
1016 636
1094 614
512 863
1017 44
607 622
177 245
701 408
1064 222
747 421
224 833
1088 639
857 331
798 923
607 946
857 498
78 364
861 918
179 518
320 460
121 499
857 705
598 81
248 904
613 636
790 450
327 886
658 753
382 1110
736 508
248 1102
676 395
684 529
1068 946
671 419
229 873
341 1051
9 252
490 997
339 202
568 829
467 362
805 680
785 826
635 426
1111 931
455 72
