# undirected graph
# source, target
# number of nodes: 4697 number of edges: 94497
348 1542
4802 787
2117 1165
5015 5234
3837 232
535 1667
3632 2530
900 4540
1110 2095
714 2629
2770 4877
5378 3815
3282 4540
4960 3844
2740 3441
1283 3413
1230 1979
317 4914
1854 478
4578 4223
3149 3747
1230 533
3623 3651
2032 4059
2808 3374
2547 4930
2568 76
3036 1188
4909 3681
5558 4788
2826 805
1329 1550
3261 2899
1444 5561
5709 5596
162 5100
3836 4886
5588 2578
4195 1546
5242 5244
3051 138
219 2411
3652 4310
5617 2592
4673 1899
4081 5209
408 409
5331 390
1478 4448
4484 2953
2551 2590
982 4533
4076 4563
4866 5558
2364 5072
3525 2365
306 164
3073 5322
1769 1975
5393 2982
3031 4346
3495 1052
3106 1710
273 4321
5259 2091
4931 1233
3322 4475
397 3821
972 1219
5403 1747
4162 4566
2003 906
1606 5331
4791 4661
2601 2814
5564 162
5531 3919
615 5648
1130 395
2002 2951
2568 4735
3471 1181
1705 2488
2132 5628
741 464
1244 3156
5507 4675
89 5124
5637 125
5056 3383
3375 77
837 5398
259 2403
1044 1182
3128 5323
2551 3495
5747 189
2958 189
4866 1063
620 5332
1538 3312
4930 123
168 3850
2990 2004
734 2088
2164 575
4028 2403
5049 453
1071 1991
5391 5591
1481 3208
422 5522
2399 793
1338 2768
549 3549
4726 5258
4246 1086
4516 4819
132 2665
4501 102
76 3676
3481 4785
5002 5072
3833 1606
1350 945
3505 4833
1711 3636
1105 4898
5391 5244
2958 450
2521 2
3395 1120
1110 2403
1434 4547
3093 2432
1175 3844
931 3839
626 2
4008 3106
1700 2770
4675 2088
4829 2770
2559 473
1501 4572
5754 3876
2601 3413
2765 4114
3325 390
2521 4330
1825 5356
5018 5120
3800 1299
4597 2980
2547 4808
4884 2892
1120 1904
189 5059
4992 2014
492 5548
4970 2587
575 3540
4310 4801
615 4317
4623 3484
2688 3798
1254 4047
591 3404
4744 390
5451 580
3327 3705
4918 5413
588 2165
3741 4786
2703 3651
640 4387
2743 3604
164 5694
132 2789
1904 580
3632 539
4286 3964
4521 4204
1362 2082
615 3383
615 4217
4944 3539
4314 390
254 4203
677 2088
4596 3671
2978 4178
3032 3495
5056 2344
350 4501
2568 2496
640 2
2146 2344
4628 1211
876 4617
3906 2235
4264 5424
4593 5331
3070 2403
139 5774
3557 4046
1026 4013
4788 96
1755 5107
5415 2612
1395 3614
4176 3686
3569 4593
4254 2808
2675 2192
597 114
2529 4732
963 225
1393 1476
3893 5279
2199 1224
2352 2403
1203 4454
5356 2612
4136 1501
2025 5157
4531 1825
216 1291
5323 2002
4422 4572
1497 252
5083 62
2826 2132
3395 1000
3632 3072
1178 3864
2499 652
3036 4896
2702 2384
1919 2032
3307 1293
1854 380
4132 5782
4593 4209
273 1717
4143 4875
1874 3297
296 1014
562 2754
3686 4518
1175 2740
916 4754
4593 3382
3995 5332
4117 3538
1634 302
1393 718
1527 615
1553 215
5548 2579
2308 1423
317 1458
4327 949
4227 5495
4862 2410
4800 1262
1316 2236
2770 2784
1463 1757
125 3342
3893 5345
1443 101
950 3563
2069 5782
914 1188
5562 4837
5594 5128
5520 3374
5239 2015
3214 4731
5637 218
3394 132
1674 5659
5424 2
3464 437
615 12
476 4819
1044 2075
514 3696
1461 2664
5600 3776
4593 4441
1026 3214
1040 1316
5285 2403
916 5397
2806 1401
4513 1549
1630 3037
5045 5469
5204 1461
5315 1044
913 3547
732 5424
2805 3113
1795 3973
963 2023
3726 3050
5507 2694
1801 2496
1130 5438
4068 5038
3560 1846
2989 421
4800 4066
3869 3106
1128 3154
2541 5686
4115 3433
3106 5084
5374 4475
1482 5770
1613 5522
1679 3471
