# undirected graph
# source, target
# number of nodes: 5407 number of edges: 116249
400 536
6070 1868
4820 3269
3055 4993
188 3902
4414 4033
2786 2033
6139 6261
2536 1847
447 362
408 5424
5574 3902
6107 126
1297 911
3237 5794
2322 1706
5656 1465
4204 5574
896 3020
5422 2776
4686 1866
1225 1074
2681 2197
2151 362
159 1942
3641 4700
1126 1742
762 3450
5493 5027
5493 3573
2703 4577
526 4020
5902 2061
109 3198
3694 2426
3583 1925
5741 889
1000 670
2965 2630
2765 126
2292 536
2759 1790
3785 4707
5238 1199
2330 2880
159 894
1385 4584
4652 882
5118 6005
403 3989
1772 2211
1905 3975
3808 5699
509 754
2063 354
845 5458
5138 4688
6102 3891
1160 2637
4323 4671
4951 3298
5204 5313
3 2596
1524 4119
3941 4507
168 3141
4620 816
2137 163
442 458
106 1211
4146 5292
335 4006
2049 185
4389 5908
692 5544
1615 2077
2330 1528
159 757
5313 5783
151 4071
6139 2273
3659 6285
2163 1186
2486 3824
3440 4177
824 5132
4383 3048
3768 2237
3759 5335
436 1985
4559 57
2489 1868
3548 4398
924 2759
4379 86
1094 4577
3909 5388
5497 6176
1544 2866
5275 1909
5745 2605
1796 2711
4547 5942
677 2630
1299 2866
1687 5300
2420 1491
3193 863
107 1240
413 2143
3475 4711
3093 4797
3124 3440
5853 537
2988 1596
4450 6179
2600 2299
4416 1882
5407 5132
3893 2536
952 3910
894 1311
2949 2140
4945 4432
1253 2773
3363 1311
4581 6080
4581 2486
1012 3193
6001 3738
2221 3621
2260 204
1326 5587
4024 4078
4383 5313
3687 3997
2074 6229
1701 586
954 537
2151 427
1532 606
4182 2406
5121 4150
2687 1667
6203 3006
5825 3183
5304 726
3765 1833
442 3423
109 323
4847 773
4822 5851
439 2132
1721 2042
1640 354
1785 1896
4597 4224
6004 1524
514 2630
1706 1124
1214 1318
5204 1554
2949 2919
1909 1855
4791 5749
4344 1966
1668 1350
6139 4928
4383 4142
5156 727
563 123
3090 2086
3607 323
3407 4385
6294 2166
5809 1021
1503 3363
4047 3114
588 2165
6001 5013
4944 2720
4826 5904
1280 3452
6293 5112
2255 2590
1642 126
4233 4373
590 1604
4134 5265
4970 3596
746 1815
2709 3314
2054 1964
6260 5620
1687 1951
582 6065
3861 1746
5765 14
5927 5186
3692 4095
2736 1604
935 4119
2214 5476
3431 2395
2214 1240
2049 4763
1214 696
5954 3917
7 4401
2901 2055
5228 3621
1999 1117
4680 4904
6040 3769
3483 3471
3314 6150
2181 633
3765 1772
645 3705
4734 5889
4049 2736
5057 4526
4673 316
955 1615
5909 4211
1001 2384
4712 528
647 6150
1000 5630
5333 6150
1182 5975
443 5753
1913 2596
4700 706
3338 1106
996 2563
213 816
3918 4070
1256 4432
2947 6092
1219 726
1741 4667
5452 4528
822 4918
3552 1260
4853 4916
5509 1089
1964 6007
1503 2337
4122 2211
6139 1845
2687 1513
6139 4101
830 6200
5544 332
2994 542
2158 3183
1979 3151
1000 1727
4121 5660
1819 2214
2838 723
109 5819
5796 4020
4210 3271
1457 6259
1832 1253
2859 6080
4284 282
5786 3414
2304 3217
2211 1847
3541 4091
2641 3759
4712 4874
159 4356
3338 5455
4872 830
958 4724
4323 769
2427 4414
526 3441
3673 4097
2180 1725
1424 3938
2093 4617
5544 6061
2224 1545
950 3287
1766 610
264 1268
5081 1772
2891 3532
4750 838
3368 1550
824 4712
4849 5526
5570 4879
221 1476
439 1892
3917 5816
643 2496
2093 1786
4348 3251
1701 4090
5017 3795
439 2111
3407 1447
3807 596
4333 220
1687 3809
4542 551
2694 3257
4249 1549
3031 6256
2123 5163
3802 2779
6147 4425
1071 499
2030 1913
6139 369
5072 6142
995 2060
4805 3265
3001 4496
1503 4401
6139 1296
1569 5618
2100 3547
5754 3690
563 1172
5418 6031
2325 2630
3267 1160
563 1713
1199 2938
5762 368
3840 4142
4828 4923
1028 1500
1913 5999
2186 4095
3765 1268
5881 3738
991 62
413 1682
110 4712
3634 4119
2405 2602
6117 2866
5251 4097
5544 5312
4828 2252
545 2214
3295 281
969 3738
4590 2356
1983 1802
4597 1520
5234 14
907 359
1701 1665
1203 5927
2508 6137
5833 5063
4997 5948
2862 4587
4835 704
4319 4217
4563 282
5489 2147
1852 1975
5004 5174
3811 6101
633 5077
76 5264
5489 478
6240 4875
6006 1870
4590 4822
1000 5121
3472 1571
3775 3738
1485 5300
3768 3129
1346 5706
5796 3802
413 1888
2805 427
3505 6142
1072 1089
436 485
5848 4584
5136 4182
1447 2765
413 5640
3160 2618
4818 4397
1613 4095
2395 1088
2427 3179
2505 670
1534 6046
413 3403
362 4776
2584 2866
4647 5219
4850 1080
1156 1003
1609 5107
511 2009
4265 204
5600 5519
4270 1745
5234 632
550 1687
5204 570
3224 2055
6073 4884
430 1447
884 4092
5156 2773
1569 5072
4614 4704
3863 102
4424 4943
5272 445
1244 937
362 4978
4389 5058
1569 1808
508 77
596 1124
551 6273
5061 804
345 2976
362 577
2423 4797
2211 2356
1028 910
3237 14
563 109
5939 5374
499 3048
1138 4500
4828 4398
4504 1827
6004 3634
1026 3052
5391 1225
2405 1089
1617 335
3645 4597
4204 3273
4348 2724
3296 5497
3373 5491
5844 166
1773 2386
2687 4027
1452 759
3271 4280
3762 3166
2555 4563
2120 2458
1743 3535
1829 2938
718 4540
4699 4603
2729 1574
4256 536
5343 3003
4369 3846
1196 2211
4091 1311
4992 4485
5627 4304
3664 3515
2756 4833
2021 4020
1256 1168
1340 5749
5571 4069
5782 3358
2773 167
3062 5121
4879 5050
3532 2766
5965 905
3014 4791
4542 1257
3124 1285
1819 5941
5200 2549
3180 2395
2003 5300
4879 1877
2171 3743
4584 5999
885 4601
706 6225
1756 2426
986 2141
4321 537
1930 5918
5421 4373
6180 3503
406 5455
1025 4597
1145 2354
892 2712
2276 793
5623 239
4131 1600
1449 3498
706 5438
5921 633
5748 804
1189 5044
1090 4408
6139 6205
2602 4215
1538 6202
4049 5903
2569 830
1706 2970
3991 221
1884 5911
2443 3089
5275 1127
104 4590
458 2054
2189 5741
1000 4204
4763 4875
3567 5934
2367 4214
4099 5044
5993 2345
822 913
627 3858
4574 1138
4073 706
4655 5957
5586 4062
4830 4681
1574 3916
3093 4233
5057 5282
3932 3458
590 3596
804 1644
1569 4307
5903 580
2487 1571
697 2824
4946 3756
343 6185
1979 4916
950 2137
5902 1471
4117 4414
2602 4090
1538 2458
931 5386
5946 596
1685 4140
2949 5458
1685 2401
4320 4260
171 5521
2423 3404
5955 4051
1172 43
647 5090
1637 2889
5773 5209
435 6240
413 4204
2393 4481
4437 1866
3170 5852
442 5444
5909 3999
5204 2982
189 166
1417 1410
2426 2837
1914 2778
6139 1723
408 4119
5975 2188
442 2080
2074 6269
439 1091
3086 6037
3183 1205
2141 2875
6139 5398
6139 3698
5205 2773
1393 1584
2529 501
5959 2801
110 478
109 4712
1600 4615
335 1777
159 4260
1311 6294
1214 4941
1362 3314
782 3363
342 167
3341 478
4383 3500
4155 3210
1324 5830
5981 2427
3107 1468
1362 5521
4828 2323
6139 3709
2138 1116
2330 3286
